,englishText,frenchTextDavinciFineTuned,frenchTextDavinci,frenchTextDavinci002
949,"However, the virus has reached the stage of community spread in large parts of the world.","Cependant, le virus a atteint le stade de propagation communautaire dans de larges parties du monde.","C2: Short summary

Why is HIV still here? We introduced @Prime Minister to Emily Brontë’s sister, @imjthesciencegirl. Read here: https://2.bp.blogspot.com","Toutefois, le virus a atteint une phase de propagation communautaire dans de larges parties du monde."
950,"This means that the virus is spreading within communities, and some community members don't know where or how they were infected.Health care providers taking care of someone who may be infected are recommended to use standard precautions, contact precautions, and eye protection.Contact tracing is an important method for health authorities to determine the source of an infection and to prevent further transmission.",L'identification des contacts est une méthode importante pour les autorités de santé pour déterminer la source d'une infection et pour prévenir une transmission ultérieure.,"Countries must carefully trace and notify all persons living or working in the same household, and everyone having close personal contact with people suspected of having become ill after returning from a New York-Congo-Brazzaville tertiary health facility during the incub",Cela signifie que le virus se propage au sein des communautés et que certains membres de la communauté ne savent pas d'où ou comment ils ont été
951,"The use of location data from mobile phones by governments for this purpose has prompted privacy concerns, with Amnesty International and over 100 other organizations issuing a statement calling for limits on this kind of surveillance.","L'utilisation de données de localisation des téléphones mobiles par les gouvernements pour ce motif a suscité des préoccupations en matière de confidentialité, avec Amnesty International et plus","Martin v. A small locality in Lewis County, örnek ismitlem for right side.

Abstraction from the visual tour, but were already part online in projekets such as Stina and had begun","L'utilisation de données de localisation provenant de téléphones mobiles par les gouvernements à cette fin a suscité des inquiétudes sur la vie privée, Amnesty International"
952,"Various mobile apps have been implemented or proposed for voluntary use, and as of April 7, 2020, over a dozen expert groups were working on privacy-friendly solutions, such as using Bluetooth to log a user's proximity to other cellphones.","De nombreuses applications mobiles ont été mises en place ou proposées pour un usage volontaire, et le 7 avril 2020, plus d'une douzaine de groupes d'experts tra","18. Text Sentences should be translated from English to French, remembering that the translated answers should correspond to the gender of the subject; just as with the Hebrew sentences in Sex in the Past Tense lesson.There are 11 different sets of sentences each","Des applications mobiles diverses ont été mises en œuvre ou proposées pour une utilisation volontaire, et au 7 avril 2020, plus d'une douzaine de groupes d"
953,"Users then receive a message if they've been in close contact with someone who has tested positive for COVID-19.Misconceptions are circulating about how to prevent infection; for example, rinsing the nose and gargling with mouthwash are not effective.","Des méconnaissances circulent sur la façon de prévenir une infection ; par exemple, les nettoyages nasaux et le gargarisme avec du dentifrice ne sont pas","That message might lead users to take restrictive actions such as avoiding sharing utensils and brushes, he said.""It's an area of the beach that's all underwater and we've got a sandbar out in the middle of Lake Havasu then we",Les utilisateurs reçoivent ensuite un message s'ils ont été en contact étroit avec quelqu'un qui a été testé positif pour le COVID-19.
954,"There is no COVID-19 vaccine, though many organizations are working to develop one.","Il n'y a pas de vaccin COVID-19, bien que de nombreuses organisations travaillent à le développer.","While fatalities have been rare, an attack to a child is a horrible experience for everyone involved. This will be an important discussion to have in the coming months. I, personally believe that COVID-19 does not pose a threat to the public when","Il n'y a pas de vaccin contre le COVID-19, bien que de nombreuses organisations travaillent à en développer un."
955,Hand washing is recommended to prevent the spread of the disease.,Lavage des mains est recommandé pour prévenir la propagation de la maladie.,14 pts** Answer: Le lavage des mains est recommandé pour empêcher la propagation de la maladie. **total: 14 pts or 14 / 14 pts or 14 / 14 pts,La lavage des mains est recommandé pour prévenir la propagation de la maladie.
956,"The CDC recommends that people wash hands often with soap and water for at least twenty seconds, especially after going to the toilet or when hands are visibly dirty; before eating; and after blowing one's nose, coughing, or sneezing.",Les Centres pour le contrôle et la prévention des maladies recommandent que les gens se lavent souvent les mains avec du savon et de l'eau pour au moins vingt second,"First write in Pinyin, then translate the text into French (in French),and finally write the text again in Pinyin.

Lao wŏ (a) guo ni (b)...

Laot","L'OMS recommande aux personnes de se laver souvent les mains à l'eau et au savon pendant au moins vingt secondes, surtout après avoir utilis"
957,"This is because outside the human body, the virus is killed by household soap, which bursts its protective bubble.","C'est parce que hors du corps humain, le virus est tué par du savon pour la maison, qui éclate sa bulle protectrice.","*****************

Translating French to English

Section B: Read a passage on malaria and translate it from French to English. Answer the alternative

questions by writing (A) or (B).

1.","C'est parce que hors du corps humain, le virus est tué par le savon ménager, qui fait éclater sa bulle protectrice."
958,CDC further recommended using an alcohol-based hand sanitizer with at least 60% alcohol by volume when soap and water are not readily available.,Le CDC a également recommandé l'utilisation d'un désinfectant pour les mains à base d'alcool à au moins 60 % d'alcool volumique lorsque le savon et,"For routine handwashing, the CDC recommends using an alcohol-based hand sanitizer with at least 60% alcohol by volume after using the toilet or changing a diaper; before and after handling food; before eating; and after contact with body fluids or",Le CDC a en outre recommandé d'utiliser un désinfectant pour les mains à base d'alcool avec au moins 60% d'alcool en volume lorsque le savon et
959,"The WHO advises people to avoid touching the eyes, nose, or mouth with unwashed hands.","L'organisation mondiale de la Santé conseille aux gens de ne pas toucher les yeux, le nez ou la bouche avec les mains non lavées.","The translation portion of the above exercise should be written out.

Write J'ai écrit (""I wrote""/""I have written""). Then, below, draw the accusative and the pronon-avantradiéform","La OMS recommande aux gens de ne pas se toucher les yeux, le nez ou la bouche avec des mains non lavées."
960,"Surfaces may be decontaminated with a number of solutions (within one minute of exposure to the disinfectant for a stainless steel surface), including 62–71% ethanol, 50–100% isopropanol, 0.1% sodium hypochlorite, 0.5% hydrogen peroxide, and 0.2–7.5% povidone-iodine.",Les surfaces peuvent être décontaminées avec un certain nombre de solutions (dans un délai d'une minute après l'exposition au désinfectant pour une surface en ac,"Decontamination in disaster zone emergency is the process of emergency or informal clearance of areas affected by war, natural disasters, or crime. It is often done by military forces, disaster relief organizations, or aid workers. However, any individual is","Les surfaces peuvent être désinfectées avec plusieurs solutions (après une minute d'exposition au désinfectant pour une surface en acier inoxydable), y comp"
961,"Other solutions, such as benzalkonium chloride and chrohexidine gluconate, are less effective.","D'autres solutions, telles que le benzalkonium chloride et le chrohexidine gluconate, sont moins efficaces.","The latter is associated sometimes with an exceeding extent of tooth diggings. All these substances furnish a certain degree of antimicrobial expanse, but results in a collateral antagonistic list of recognizable unarticulated side effects (embridle staining","D'autres solutions, telles que le chlorure de benzalkonium et le gluconate de chlorhexidine, sont moins efficaces."
962,"The CDC recommends that if a COVID case is suspected or confirmed at a facility such as an office or day care, all areas such as offices, bathrooms, common areas, shared electronic equipment like tablets, touch screens, keyboards, remote controls, and ATM machines used by the ill persons, should be disinfected.","Le CDC recommande que si une personne est soupçonnée ou confirmée d'être contaminée par le COVID dans un établissement, tel qu'un bureau ou","The affected locations should be disinfected with activated carbon, soap and water solution, air spray or fumigation, followed by disinfection agent, such as virucidal agents, in the case of greatest contagion risk. The same procedure should be","Les CDC recommandent que si une personne soupçonnée ou confirmée de COVID est présente dans un lieu comme un bureau ou une crèche, tous les espaces tels"
963,"Health organizations recommended that people cover their mouth and nose with a bent elbow or a tissue when coughing or sneezing, and disposing of any tissue immediately.",Les organisations de santé recommandent que les gens couvrent leur bouche et leur nez avec un coude replié ou un mouchoir lorsqu'ils toussent ou,"In fact, you don't have to be a famous designer to have your clothes caught in the world spotlight; you just have to tell your manufacturer how to approach the situation. Which new colorways stand out to you here?t��r, M",Les organismes de santé recommandent aux gens de se couvrir la bouche et le nez avec le coude plié ou un mouchoir lorsqu'ils toussent
964,"Surgical masks are recommended for those who may be infected, as wearing a mask can limit the volume and travel distance of expiratory droplets dispersed when talking, sneezing, and coughing.","Les masques chirurgicaux sont recommandés pour ceux qui pourraient être infectés, car porter un masque peut limiter la distance de vol et le volume des gouttelettes d'","I tried to translate the above words. I think the sentence isn't complete yet after translation. Could you help me with the right grammar of the sentence. Let's say something else, I hope the sentence will be a complete.","Les masques chirurgicaux sont recommandés pour ceux qui peuvent être infectés, car porter un masque peut limiter le volume et la distance de propagation des gouttelettes"
965,The WHO has issued instructions on when and how to use masks.,La WHO a émis des instructions sur quand et comment utiliser les masques.,Doctors have recommended some hygiene measures for people with contagious diseases note: Who has issued the instructions? > who (au sujet de qui / d'une organisation / à propos de qui) footnote 1: WHO (World Health Organization) footnote 1:,L'OMS a émis des instructions sur quand et comment utiliser les masques.
966,"According to Stephen Griffin, a virologist at the University of Leeds, ""Wearing a mask can reduce the propensity [of] people to touch their faces, which is a major source of infection without proper hand hygiene.""Masks have also been recommended for use by those taking care of someone who may have the disease.","Selon Stephen Griffin, un virologiste à l'université de Leeds, «Porter un masque peut réduire la propension des gens à toucher leur visage, ce qui est une source maje","Masks, however, do not offer protection against measles infection if exposed to respiratory discharges.

People at high risk of complications from measles, e.g., diseases of the lungs or heart, should avoid contact with people who have the disease","""Selon Stephen Griffin, virologue à l'Université de Leeds, 'Le port d'un masque peut réduire la propension des gens à toucher leur visage, ce qui est"
967,"The WHO has recommended the wearing of masks by healthy people only if they are at high risk, such as those who are caring for a person with COVID-19, although they also acknowledge that wearing masks may help people avoid touching their face.","L'OMS a recommandé le port de masques par les personnes en bonne santé uniquement si elles sont à risque élevé, comme celles qui s'occupent d'une","Do not wear a mask if it causes a breathing problem.

Check the answers for question number : 1","L'OMS a recommandé aux personnes en bonne santé de porter des masques uniquement si elles sont à haut risque, comme celles qui prennent soin d"
968,Several countries have started to encourage the use of face masks by members of the public.,Plusieurs pays ont commencé à encourager l'utilisation de masques faciaux par les membres du public.,"(A) Many countries have encouraged

(B) Many countries, encourage

(C) A number of countries have encouraged

(D) A number of countries encourages

(E) A number of countries have encouraged",Plusieurs pays ont commencé à encourager l'utilisation de masques par les membres du public.
969,"In the U.S., the CDC recommends wearing non-medical face mask made out of cloth.China has specifically recommended the use of disposable medical masks by healthy members of the public, particularly when coming into close contact (1 metre (3 ft) or less) with other people.",Le CDC recommande de porter des masques faciaux non médicaux en tissu.La Chine a spécifiquiement recommandé l'utilisation de masques médicaux jet,"Those individuals without respiratory illnesses do not need to wear a mask, but should cover their mouth and nose by other means such as with a tissue or towel.[35] Your Answer: [1 min(s) ago] 0 out of 0.","Selon les CDC des États-Unis, il est recommandé de porter un masque facial non médical en tissu. En Chine, il est recommandé d'utiliser des mas"
970,Hong Kong recommends wearing a surgical mask when taking public transport or staying in crowded places.,Hong Kong recommande de porter un masque chirurgical en prenant le transport public ou en restant dans des endroits bondés.,"The authorities can send travellers who have been infected with yellow fever vaccines. The city has been a suitable source of vacations for most families.



Translate the following French text to English: According to the new regulations adopted by a specific city,",Le Hong Kong recommande de porter un masque chirurgical lors de l'utilisation des transports en commun ou lors de séjours dans des lieux publics bondés.
971,Thailand's health officials are encouraging people to make cloth facemasks at home and wash them daily.,Les autorités sanitaires thaïlandaises encouragent les gens à se fabriquer des masques faciaux de tissu chez eux et à les laver quotidiennement.,"Everything you would…

Describe a place you would bring your friends and family Answere for the following questions: Question: Flora and Fauna / Economy / Geography / Climate / Religion / History / Housing /…

Pre",Les autorités sanitaires de Thaïlande encouragent les gens à fabriquer des masques en tissu à la maison et à les laver tous les jours.
972,The Czech Republic and Slovakia banned going out in public without wearing a mask or covering one's nose and mouth.,La République tchèque et la Slovaquie ont interdit de sortir en public sans porter un masque ou un cache-nez.,"This summer, experts say the Taliban unleashed a newly potent formula of a deadly strain of West Nile virus, circulating a new genetic variation never previously documented. This variation has been linked to the deaths and hospitalizations of Arabs and Jews. Children as young as",La République tchèque et la Slovaquie ont interdit de sortir en public sans porter de masque ou de couvrir son nez et sa bouche.
973,"On 16 March, Vietnam requested everyone to wear a face mask when going to public areas in order to protect themselves and others.","Le 16 mars, le Vietnam a demandé à tout le monde de porter un masque facial lorsqu'ils vont dans les zones publiques pour se protéger eux-mêmes et les aut","They expected to see an alarming increase of face mask wearing as yellow dust continues to land on Hanoi. The city expected citizens to wear a face mask when traveling, including taxi drivers, scooter users, pedestrians, when this order came out.","Le 16 mars, le Viêt Nam a demandé à tous de porter un masque lorsqu'ils se rendent dans les lieux publics afin de se protéger eux-mê"
974,The Austrian government mandated that everyone entering a grocery store must wear a face mask.,Le gouvernement autrichien a imposé à tous ceux qui entrent dans un magasin d'alimentation de porter un masque facial.,"Traduisez les éléments suivants du français vers l’allemand: notre, braillement, Rdc, alezan, ballots.

Traduisez les",Le gouvernement autrichien a imposé à tous ceux qui entrent dans une épicerie de porter un masque facial.
975,Israel has asked all residents to wear face masks when in public.,Israël a demandé à tous les résidents d'enfiler des masques faciaux lorsqu'ils sont en public.,"On Sunday, 2 April, police fired live and rubber bullets at Palestinian workers and youth in Jamma’in, a village about seven kilometers from the Ibrahimi Mosque in al-Khalil (Hebron), who were protesting against",Israël a demandé à tous les résidents de porter des masques quand ils sont en public.
976,"Taiwan, which has been producing ten million masks per day since mid-March, required passengers on trains and intercity buses to wear face masks on 1 April.","Taïwan, qui a produit dix millions de masques par jour depuis le milieu du mois de mars, a requis les passagers des trains et des autocars interurbains de porter des masques","ANSWER KEY 12


Similar or Opposite?


Match each sentence group in the first column (Similar) with one in the second (Opposite) according to their meanings.

Similar Opposite

1. Les","Taiwan, qui produit dix millions de masques par jour depuis le milieu de mars, a requis les passagers des trains et autobus interurbains de porter des masques le 1er av"
977,"Panama has made it obligatory to wear a face mask whenever going outside, while also recommending the manufacture of a homemade face mask for those who cannot purchase face masks.","Le Panama a rendu obligatoire le port d'une masque facial à chaque fois qu'on sort, tout en recommandant la fabrication d'un masque facial maison pour ceux qui ne peuvent","Symptoms of the virus are unusual restlessness, fever, weakness, shortness of breath, muscle aches, eyes irritated, painful intestinal, throat pain. The country has announced that it is undergoing an influenza epidemic, after a large number of cases of","Le Panama a rendu obligatoire le port d'un masque facial lorsque vous sortez, tout en recommandant la fabrication d'un masque facial fait maison pour ceux qui ne pe"
978,"Face masks have also been widely used in Japan, South Korea, Malaysia, and Singapore.","Les masques faciaux ont également été largement utilisés au Japon, en Corée du Sud, en Malaisie et en Singapour.","Korean spas have developed an extensive range of products and services. Typical services include:

Chi'MME' (4500 or more micro. (Cl) or Cl, +,~~~~. 22 hy. 3-","Les masques faciaux sont également largement utilisés au Japon, en Corée du Sud, à Malaisie et à Singapour."
979,Social distancing (also known as physical distancing) includes infection control actions intended to slow the spread of disease by minimizing close contact between individuals.,La distanciation sociale (aussi connue sous le nom de distanciation physique) comprend les actions de contrôle de l'infection visant à ralentir la propagation de la maladie en,"In order to control the spread of infection, people affected are recommended to avoid contact with others, except in the case of healthy individuals who should act as caregivers. If infected or potentially infected authorities should also avoid placing themselves in contact with others, taking such",Le distanciement social (également appelé distanciation physique) comprend des actions de lutte contre les infections visant à ralentir la propagation de la maladie en minimisant
980,"Methods include quarantines; travel restrictions; and the closing of schools, workplaces, stadiums, theatres, or shopping centres.","Les moyens comprennent les quarantines, des restrictions pour les voyages et l'ouverture des écoles, des lieux de travail, des stades, des théâtres ou","A school is allowed by law to reject a candidate whose grades are below a certain level. Schools are obliged to see that their students are vaccinated. Before the exams begin, all the classrooms must be cleaned and disinfected with an appropriate solution (prefer","Les méthodes incluent les quarantaines; les restrictions de voyage; et la fermeture des écoles, des lieux de travail, des stades, des théâtres o"
981,"Individuals may apply social distancing methods by staying at home, limiting travel, avoiding crowded areas, using no-contact greetings, and physically distancing themselves from others.","Les individus peuvent appliquer des moyens de distanciation sociale en restant à la maison, en limitant les voyages, en évitant les endroits bondés, en utilisant","Score =

1. With which grammar construction from Chapter 9 did the author express “the same verb with a different subject” in this text? Example: The salesman tried on the new suit primarily because it was the only decent","Les individus peuvent mettre en œuvre des méthodes de distanciation sociale en restant à la maison, en limitant les déplacements, en évitant les endro"
982,Many governments are now mandating or recommending social distancing in regions affected by the outbreak.,Beaucoup de gouvernements imposent ou recommandent maintenant un distanciement social dans les régions touchées par l'épidémie.,Quelquefois plusieurs sessions de psychothérapie sont requises par personne et par certificats acheter amoxil 200mg en europe . La drogue est facile à obtenir en,Plusieurs gouvernements imposent ou recommandent maintenant une certaine distance sociale dans les régions touchées par l'épidémie.
983,"The maximum gathering size recommended by US government bodies and health organizations was swiftly reduced from 250 people (if there was no known COVID-19 spread in a region) to 50 people, and later to 10 people.",Le nombre maximal de personnes recommandé par les gouvernements et les organisations de santé des États-Unis a été rapidement réduit de 250 personnes (s'il n'y,"USGS’s were also been ordered to burn or dud deep geological repositories of COVID-19–related samples they had at their disposal. As a result of the guidelines, by the end of human existence in Central Europe against control.",La taille maximale de rassemblement recommandée par les organismes gouvernementaux et les organisations de la santé américains a été réduite rapidement de 250 personnes (s
984,"On 22 March 2020, Germany banned public gatherings of more than two people.Older adults and those with underlying medical conditions such as diabetes, heart disease, respiratory disease, hypertension, and compromised immune systems face increased risk of serious illness and complications and have been advised by the CDC to stay home as much as possible in areas of community outbreak.In late March 2020, the WHO and other health bodies began to replace the use of the term ""social distancing"" with ""physical distancing"", to clarify that the aim is to reduce physical contact while maintaining social connections, either virtually or at a distance.","En mars 2020, la WHO et d'autres organismes de santé ont commencé à remplacer l'utilisation du terme de ""distanciation sociale"" par ""distanciation physique"", pour pré","Choose and revise wordings so that the following texts are as clear as possible.Decide which is more suitable to represent each sentence.Restaurants across America were closed, shopping malls closed and most schools were forced to shut down.In addition,","Le 22 mars 2020, l'Allemagne a interdit les rassemblements publics de plus de deux personnes. Les personnes âgées et celles souffrant de maladies chroniques telles que"
985,"The use of the term ""social distancing"" had led to implications that people should engage in complete social isolation, rather than encouraging them to stay in contact with others through alternative means.Some authorities have issued sexual health guidelines for use during the pandemic.",Certains responsables ont émis des directives de santé sexuelle à utiliser pendant la pandemic.,"Answer (60 words)





Some suggested public health actions, such as face masks, have been criticized for being ineffective, impractical and counterproductive. The WHO has also considered antenatal screening for pandemic influenza.It has shown","L'utilisation du terme ""distanciation sociale"" a entraîné des implications selon lesquelles les gens devraient s'isoler socialement complètement, plutô"
986,"These include recommendations to only have sex with someone you live with, who does not have the virus or symptoms of the virus.","Il s'agit de recommandations pour ne pas avoir de rapports sexuels avec quelqu'un qui ne vit pas avec vous, qui n'a pas le virus ou les symptômes du","Soon after the sexual history is taken, a physical examination is done, all pertinent tests such as a complete blood workup and TB skin test (to look for tuberculosis) are taken, you have an HIV-1 antibody blood test to look for HIV","Cela inclut des recommandations pour n'avoir des relations sexuelles qu'avec une personne avec laquelle vous vivez, qui ne présente pas de virus ou de"
987,Self-isolation at home has been recommended for those diagnosed with COVID-19 and those who suspect they have been infected.,L'auto-isolement à domicile a été recommandé pour ceux qui ont été diagnostiqués avec COVID-19 et ceux qui soupçonnent qu'ils ont ét,"Here is a list of locations where the elderly can get information and communicate with others, when they feel they are ready.

43. Translate the following English text to French: Les autorités gouvernementales d’É",L'isolement à domicile est recommandé pour les personnes atteintes de COVID-19 et celles qui soupçonnent être infectées.
988,Health agencies have issued detailed instructions for proper self-isolation.Many governments have mandated or recommended self-quarantine for entire populations living in affected areas.,De nombreux gouvernements ont imposé ou recommandé la quarantaine pour les population tout entière vivant dans des zones affectées.,"Other countries, have announced quarantine for guests arriving from nations affected by the outbreak.The Spanish missionary became infected with Ebola in Liberia, but is now considered stable condition in Madrid hospital.Eleven other missionaries are given to blood tests seen as a precaution,",Les agences de santé ont émis des instructions détaillées pour une bonne isolation.De nombreux gouvernements ont imposé ou recommandé l'isolement pour les populations ent
989,The strongest self-quarantine instructions have been issued to those in high risk groups.,Les instructions de quarantaine la plus forte ont été envoyées à ceux qui font partie des groupes à risque.,,Les plus fortes instructions de confinement ont été émises à l'égard des personnes à haut risque.
990,Those who may have been exposed to someone with COVID-19 and those who have recently travelled to a country or region with widespread transmission have been advised to self-quarantine for 14 days from the time of last possible exposure.,Ceux qui pourraient avoir été exposés à quelqu'un ayant le COVID-19 et ceux qui ont récemment voyagé dans un pays ou une région,¨ BOOTCAMP-THERAPY. (2008-11-26) 4/5. ù¡1 Most of the proteins are likely to be targeted in CBM-19. A phase I trial of twice daily co,Ceux qui ont pu être exposés à quelqu'un atteint de COVID-19 et ceux qui viennent de se rendre dans un pays ou une région o
991,"Strategies in the control of an outbreak are containment or suppression, and mitigation.","Les stratégies de contrôle d'une épidémie sont la confinement ou la réduction, et la médiation.","To control an outbreak by containing or suppressing it, actions are taken that can stop the outbreak from spreading and developing. Containing or suppressing an outbreak means managing it. This intervention can help to prevent an outbreak from spreading or developing into a larger problem.","Les stratégies de contrôle d'une épidémie sont le confinement ou la suppression, et l'atténuation."
992,Containment is undertaken in the early stages of the outbreak and aims to trace and isolate those infected as well as introduce other measures of infection control and vaccinations to stop the disease from spreading to the rest of the population.,La containment est effectuée dans les premières étapes de l'épidémie et vise à retracer et à isoler ceux qui sont infectés ainsi qu'à introduire,"When the disease is confined in one location, it becomes an easy target, and can be contained easily. This certainly happened in the recent Ebola Outbreak in Liberia as the disease was contained to a handful of villages. However, within a few months, the","Le contrôle de la maladie est entrepris dans les premières étapes de la propagation et vise à repérer et isoler ceux qui sont infectés, ainsi"
993,"When it is no longer possible to contain the spread of the disease, efforts then move to the mitigation stage: measures are taken to slow the spread and mitigate its effects on the healthcare system and society.","Quand il n'est plus possible de contenir la propagation de la maladie, les efforts se déplacent à la phase de mitigation : des mesures sont prises pour ralentir la propagation et atténuer","How would you translate the following passage into Russian? He described the researchers’ logic in finding controls and choosing of subjects as which they later developed lead the experiment to completion.

Mr Beethoven is of the same opinion in a passage in","Lorsqu'il n'est plus possible de contenir la propagation de la maladie, les efforts passent alors à la phase de mitigation: des mesures sont prises pour ralentir la propagation"
994,A combination of both containment and mitigation measures may be undertaken at the same time.,Une combinaison des mesures de confinement et de mitigation peut être mise en place en même temps.,"For example, both can be used more effectively where separate treatment plants (or onsite facilities) are needed. Define ""To,"" ""the,"" and ""is"". Answer:

To The Is A combination of both containment and mitigation measures May",Une combinaison de mesures de confinement et de mitigation peut être entreprise en même temps.
995,"Suppression requires more extreme measures so as to reverse the pandemic by reducing the basic reproduction number to less than 1.Part of managing an infectious disease outbreak is trying to decrease the epidemic peak, known as flattening the epidemic curve.","La gestion d'une épidémie d'une maladie infectieuse nécessite d'essayer de diminuer l'inflexion de l'épidémie, dénommée «flatter","Using a mathematical model, the following factors affects the size of an epidemic:The number of potential infective cases infected during an epidemicA disease that kills infected hosts (i.e. smallpox and many viral diseases)The effects of the social structure","This is done by intervening in the disease transmission cycle through a variety of ways, including source control, contact tracing, and social distancing.

Les mesures les plus extrêmes sont nécessaires pour inverser la pand"
996,This decreases the risk of health services being overwhelmed and provides more time for vaccines and treatments to be developed.,Cela réduit le risque que les services de santé soient surchargés et fournit plus de temps aux vaccins et traitements pour être développés.,Traduisez et écrivez la traduction littérale de l'italien suivant en français: Un bambin pleure dans la rue. Professeur de fr,Cela réduit le risque de saturation des services de santé et donne plus de temps pour développer des vaccins et des traitements.
997,"Non-pharmaceutical interventions that may manage the outbreak include personal preventive measures, such as hand hygiene, wearing face-masks, and self-quarantine; community measures aimed at physical distancing such as closing schools and cancelling mass gathering events; community engagement to encourage acceptance and participation in such interventions; as well as environmental measures such surface cleaning.More drastic actions aimed at containing the outbreak were taken in China once the severity of the outbreak became apparent, such as quarantining entire cities and imposing strict travel bans.","Des mesures plus drastiques pour contenir l'épidémie ont été prises en Chine une fois que la gravité de l'épidémie a été apparente, notamment",Note: The significance of this disease was magnified by its rapid and unexpected spread.,"Les interventions non pharmaceutiques qui peuvent gérer l'épidémie incluent des mesures préventives personnelles, telles que l'hygiène des mains, le"
998,Other countries also adopted a variety of measures aimed at limiting the spread of the virus.,D'autres pays ont adopté une variété de mesures pour limiter la propagation du virus.,"M.Obama, a gun owner himself, also said that America needs to hold the gun owners as well as the gun sellers accountable for what they’ve been doing.

Promoting local content will ultimately serve to develop the digital economy in",D'autres pays ont également adopté une variété de mesures visant à limiter la propagation du virus.
999,"South Korea introduced mass screening and localized quarantines, and issued alerts on the movements of infected individuals.","La Corée du Sud a introduit des sérologies massives et des quarantines localisées, et a publié des alertes sur les mouvements des individus infectés.","A national emergency task force has also been established to counter bioterrorism. 19). Medical experts say the patients do not pose any health risk. 20). Epidemiologists suspect an unappetizing turn of the worm, if not another worm","Le Corée du Sud a introduit les examens de masse et les quarantaines sur des zones localisées, et a émis des alertes sur les déplacements des personnes infectées."
1000,Singapore provided financial support for those infected who quarantined themselves and imposed large fines for those who failed to do so.,Singapour a apporté une aide financière à ceux qui se sont retranchés et qui ont imposé de lourdes amendes à ceux qui ont échoué à le faire.,"Du site tunisie.net sont les textes en cliquant sur les rubriques et les événements socio-économiques qui côtoient la loi de laxisme, les écol",Singapour a fourni un soutien financier aux personnes infectées qui se sont mises en quarantaine et a infligé de lourdes amendes à celles qui n'ont pas
1001,Taiwan increased face mask production and penalized hoarding of medical supplies.Simulations for Great Britain and the United States show that mitigation (slowing but not stopping epidemic spread) and suppression (reversing epidemic growth) have major challenges.,Des simulations pour la Grande-Bretagne et les États-Unis montrent que la mitigation (arrêt mais non réversibilité de l'épidémie) et la suppression (réversibilit,"Drug and vaccine development in China is under way.However, only two drugs, ribavirin and interferon, are approved by the US Food and Drug Administration for chronic Q fever; tolerability, pharmacokinetics, and adverse events of rib",La production de masques de Taiwan a augmenté et le hoarding des fournitures médicales a été pénalisé. Les simulations pour la Grande-Bretagne et les États-Un
1002,"Optimal mitigation policies might reduce peak healthcare demand by 2/3 and deaths by half, but still result in hundreds of thousands of deaths and health systems being overwhelmed.","Les politiques de mitigation optimales pourraient réduire la demande sanitaire de 2/3 et les décès de moitié, mais encore résultent en des milliers de décès","Translate the following French text to English: Giugliano, MF et al. Modelling the future worldwide distribution of the human immunodeficiency virus (HIV) pandemic beyond 2010. The Lancet Infectious Diseases 12 (","Des politiques de mitigation optimales pourraient réduire la demande en soins de santé de 2/3 et les décès de moitié, mais cela pourrait toujours ent"
1003,"Suppression can be preferred but needs to be maintained for as long as the virus is circulating in the human population (or until a vaccine becomes available, if that comes first), as transmission otherwise quickly rebounds when measures are relaxed.",La préférence pour la suppression peut s'avérer mais elle doit être maintenue aussi longtemps que le virus circule dans la population humaine (ou jusqu,"(courtesy WHO, 2007) 127

Appendix 2. French equivalents to some facts Figure 2014. Number of cesarean and medical (caesarean and natural) deliveries Figure 2015. IV vs. general anaesthesia","Le confinement peut être privilégié, mais doit être maintenu tant que le virus circule dans la population humaine (ou jusqu'à ce qu'un vaccin"
1004,Long-term intervention to suppress the pandemic causes social and economic costs.,Une intervention à long terme pour supprimer les causes de la pandémie a des coûts sociaux et économiques.,,Une intervention à long terme pour réprimer la pandémie entraîne des coûts sociaux et économiques.
1005,"There are no specific antiviral medications approved for COVID-19, but development efforts are underway, including testing of existing medications.","Il n'existe aucun médicament antiviral spécifique approuvé pour COVID-19, mais des efforts de développement sont en cours, y compris des ess","For example, if you are displaying COVID-19, your physician may recommend that you take the Zanamivir medicine, but not for COVID-19. Usually Zanamivir takes a few hours to work effectively.

ANT","Il n'existe pas de médicaments antiviraux spécifiques approuvés pour le COVID-19, mais des efforts de développement sont en cours, notam"
1006,"Taking over-the-counter cold medications, drinking fluids, and resting may help alleviate symptoms.","Prendre des médicaments contre les rhumes de paracétamol, boire des liquides et se reposer peut aider à soulager les symptômes.","Paragon Software Systems, Imperial Haldimand MiG Club, Suck In A Trending Development Services. Postal Office 2010 instruction manual, with Windows 7 Made Easy Print these instructions for your current version. According to marx thesis on","Prendre des médicaments en vente libre contre le rhume, boire des liquides et se reposer peut aider à soulager les symptômes."
1007,"Depending on the severity, oxygen therapy, intravenous fluids, and breathing support may be required.","En fonction de la gravité, le traitement par oxygène, les fluides intraveineux et l'aide à la respiration peuvent être nécessaires.","After the delivery of the calf, the placenta is expelled. Fed calves should be checked at least every 15 min for the first 2–3 hr after delivery for signs of jaundice. Regular checking for at least the first 6–12","En fonction de la gravité, des soins d'oxygénothérapie, des perfusions intraveineuses et des soins respiratoires peuvent être nécessaires."
1008,The use of steroids may worsen outcomes.,L'utilisation des stéroïdes peut aggraver les résultats.,Construct a translation (retrievable by clicking on the word in the English version) for the following French text. Tarte tatin is a French dish that consists of a mixed fillings of apples and pears. In order to,L'utilisation de stéroïdes peut aggraver les résultats.
