,terminologyEnglish,terminologyFrench,syntheticText,translatedText
452,influenza,grippal|grippale|grippe,I caught the flu last week.,J'ai attrapé la grippe la semaine dernière.
453,influenza,grippal|grippale|grippe,I caught the flu last week.,J'ai attrapé la grippe la semaine dernière.
454,influenza,grippal|grippale|grippe,I caught the flu last week.,J'ai attrapé la grippe la semaine dernière.
455,isolation,isolement|isoler|isolation,I felt a sense of isolation when I was alone in the room.,J'ai ressenti un sentiment d'isolement quand j'étais seul dans la pièce.
456,isolation,isolement|isoler|isolation,I felt a sense of isolation when I was alone in the room.,J'ai ressenti un sentiment d'isolement quand j'étais seul dans la pièce.
457,isolation,isolement|isoler|isolation,I felt a deep sense of isolation when I was alone in the room.,J'ai ressenti une profonde sensation d'isolement quand j'étais seul dans la pièce.
458,isolation,isolement|isoler|isolation,I felt a deep sense of isolation when I was alone in my room.,J'ai ressenti un profond sentiment d'isolement lorsque j'étais seul dans ma chambre.
459,isolation,isolement|isoler|isolation,I feel so isolated from the rest of the world.,Je me sens tellement isolé du reste du monde.
460,infectivity,infectivité,The infectivity of the virus is spreading rapidly.,L'infectiosité du virus se propage rapidement.
461,infectivity,infectivité,The infectivity of the virus is increasing.,L'infectivité du virus est en augmentation.
462,infectivity,infectivité,The infectivity of the virus is increasing.,L'infectivité du virus est en augmentation.
463,infectivity,infectivité,The infectivity of the virus is increasing rapidly.,L'infectiosité du virus augmente rapidement.
464,infectivity,infectivité,The infectivity of the virus is increasing rapidly.,L'infectiosité du virus augmente rapidement.
465,sneezing,éternuements|éternue|éternuement|éternuer,I sneezed.,Je toussai.
466,sneezing,éternuements|éternue|éternuement|éternuer,I sneezed.,Je toussai.
467,sneezing,éternuements|éternue|éternuement|éternuer,I sneezed loudly.,J'ai éternué fort.
468,sneezing,éternuements|éternue|éternuement|éternuer,I sneezed.,Je me suis éternué.
469,sneezing,éternuements|éternue|éternuement|éternuer,I sneezed loudly.,J'ai éternué bruyamment.
470,precaution,précautions|précaution,It is always wise to take precautions.,Il est toujours sage de prendre des précautions.
471,precaution,précautions|précaution,It is always wise to take precautions.,Il est toujours sage de prendre des précautions.
472,precaution,précautions|précaution,Take precautions to ensure your safety.,Prenez les précautions nécessaires pour assurer votre sécurité.
473,precaution,précautions|précaution,It is always wise to take precautions.,Il est toujours sage de prendre des précautions.
474,precaution,précautions|précaution,Take precautions to ensure your safety.,Prenez des précautions pour assurer votre sécurité.
475,face masks,masques de protection|masques faciaux,Wearing face masks is an important part of staying safe during the pandemic.,Le port de masques faciaux est une partie importante de rester en sécurité pendant la pandémie.
476,face masks,masques de protection|masques faciaux,Wearing face masks is important to help protect yourself and others from the spread of germs.,Le port de masques est important pour aider à se protéger soi-même et les autres contre la propagation des germes.
477,face masks,masques de protection|masques faciaux,Wearing face masks is important to help protect against the spread of germs.,Le port de masques faciaux est important pour aider à protéger contre la propagation des germes.
478,face masks,masques de protection|masques faciaux,Wearing face masks is an important part of staying safe during the pandemic.,Porter des masques faciaux est une partie importante pour rester en sécurité pendant la pandémie.
479,face masks,masques de protection|masques faciaux,Wearing face masks is an important part of staying safe during the pandemic.,Porter des masques faciaux est une partie importante de rester en sécurité pendant la pandémie.
480,masks,masque|masques,People are wearing masks to help protect themselves from the spread of disease.,Les gens portent des masques pour se protéger contre la propagation des maladies.
481,masks,masque|masques,People are wearing masks to help protect themselves from the spread of disease.,Les gens portent des masques pour se protéger de la propagation de la maladie.
482,masks,masque|masques,People are wearing masks to help protect themselves from getting sick.,Les gens portent des masques pour se protéger contre la maladie.
483,masks,masque|masques,Wearing masks has become an important part of our daily lives.,Le port de masques est devenu une partie importante de nos vies quotidiennes.
484,masks,masque|masques,People are wearing masks to help protect themselves from the spread of the virus.,Les gens portent des masques pour se protéger contre la propagation du virus.
485,droplets,gouttelettes,The sky was filled with tiny droplets of rain.,Le ciel était rempli de minuscules gouttelettes de pluie.
486,droplets,gouttelettes,The sky was filled with tiny droplets of rain.,Le ciel était rempli de minuscules gouttelettes de pluie.
487,droplets,gouttelettes,The sky was filled with tiny droplets of rain.,Le ciel était plein de petites gouttes de pluie.
488,droplets,gouttelettes,The sky was filled with tiny droplets of rain.,Le ciel était rempli de petites gouttelettes de pluie.
489,droplets,gouttelettes,The sky was filled with tiny droplets of rain.,Le ciel était rempli de toutes petites gouttes de pluie.
490,surfaces,surfaces,The surfaces of the table were smooth and shiny.,Les surfaces de la table étaient lisses et brillantes.
491,surfaces,surfaces,The surfaces of the table were smooth and shiny.,Les surfaces de la table étaient lisses et brillantes.
492,surfaces,surfaces,The surfaces of the table were smooth and shiny.,Les surfaces de la table étaient lisses et brillantes.
493,surfaces,surfaces,The surfaces of the table were smooth and shiny.,Les surfaces de la table étaient lisses et brillantes.
494,surfaces,surfaces,The surfaces of the table were smooth and shiny.,Les surfaces de la table étaient lisses et brillantes.
495,self-quarantine,quarantaine spontanée,I am self-quarantining to protect myself and others from the spread of the virus.,Je m'auto-confinement pour me protéger et protéger les autres de la propagation du virus.
496,self-quarantine,quarantaine spontanée,I am self-quarantining to help prevent the spread of the virus.,Je me mets en auto-quarantaine pour aider à prévenir la propagation du virus.
497,self-quarantine,quarantaine spontanée,I am self-quarantining to protect myself and others from potential exposure to the virus.,Je me mets en quarantaine pour me protéger et protéger les autres d'une éventuelle exposition au virus.
498,self-quarantine,quarantaine spontanée,I am self-quarantining to protect myself and others from the spread of the virus.,Je me mets en quarantaine pour me protéger et protéger les autres de la propagation du virus.
499,self-quarantine,quarantaine spontanée,I am self-quarantining to protect myself and others.,Je me mets en auto-quarantaine pour me protéger et protéger les autres.
500,contagiousness,contagieux|contagiosité,The contagiousness of the disease spread quickly.,La contagiosité de la maladie s'est rapidement répandue.
501,contagiousness,contagieux|contagiosité,The contagiousness of the virus spread quickly throughout the population.,La contagiosité du virus s'est rapidement répandue dans la population.
502,contagiousness,contagieux|contagiosité,The contagiousness of the virus spread quickly throughout the population.,La contagiosité du virus s'est propagée rapidement à travers la population.
503,contagiousness,contagieux|contagiosité,The contagiousness of the disease spread quickly.,La contagiosité de la maladie s'est répandue rapidement.
504,contagiousness,contagieux|contagiosité,The contagiousness of the disease spread quickly.,La contagiosité de la maladie s'est répandue rapidement.
505,epidemic disease,maladie épidémique|maladies épidémiques,The spread of an epidemic disease is causing alarm throughout the country.,La propagation d'une maladie épidémique est source d'inquiétude dans tout le pays.
506,epidemic disease,maladie épidémique|maladies épidémiques,The outbreak of an epidemic disease has caused widespread panic.,L'éclosion d'une maladie épidémique a causé une panique généralisée.
507,epidemic disease,maladie épidémique|maladies épidémiques,The outbreak of an epidemic disease has caused widespread panic.,L'éclosion d'une maladie épidémique a causé une panique générale.
508,epidemic disease,maladie épidémique|maladies épidémiques,The outbreak of an epidemic disease has caused widespread panic.,L'éclosion d'une maladie épidémique a causé une panique généralisée.
509,epidemic disease,maladie épidémique|maladies épidémiques,The outbreak of an epidemic disease has caused widespread panic.,L'éclosion d'une maladie épidémique a causé une panique généralisée.
510,death rate,taux de mortalité,The death rate has increased significantly this year.,Le taux de mortalité a augmenté significativement cette année.
511,death rate,taux de mortalité,The death rate has increased significantly this year.,Le taux de mortalité a considérablement augmenté cette année.
512,death rate,taux de mortalité,The death rate has increased significantly over the past year.,La mortalité a significativement augmenté au cours de l'année dernière.
513,death rate,taux de mortalité,The death rate has increased significantly in the past year.,Le taux de mortalité a significativement augmenté au cours de l'année dernière.
514,death rate,taux de mortalité,The death rate has increased significantly this year.,Le taux de décès a augmenté significativement cette année.
515,assay,tests|test,I will perform an assay to determine the accuracy of the results.,Je vais effectuer un essai pour déterminer la précision des résultats.
516,assay,tests|test,I will need to assay the sample before I can give an accurate result.,Je devrai analyser l'échantillon avant de pouvoir donner un résultat précis.
517,assay,tests|test,I will need to perform an assay to determine the results.,Je devrai effectuer un dosage pour déterminer les résultats.
518,assay,tests|test,I will need to perform an assay to determine the accuracy of the results.,J'aurais besoin de réaliser une analyse pour déterminer la précision des résultats.
519,assay,tests|test,I will need to perform an assay to determine the accuracy of my results.,Je devrai effectuer une analyse pour déterminer la précision de mes résultats.
520,effective treatment,traitement efficace,The effective treatment has been successful in improving the patient's condition.,Le traitement efficace a été couronné de succès pour améliorer l'état du patient.
521,effective treatment,traitement efficace,The effective treatment has been successful in improving the patient's condition.,Le traitement efficace a été une réussite dans l'amélioration de l'état du patient.
522,effective treatment,traitement efficace,The effective treatment has been successful in improving the patient's condition.,Le traitement efficace a été couronné de succès dans l'amélioration de l'état du patient.
523,effective treatment,traitement efficace,The effective treatment was successful in improving the patient's condition.,Le traitement efficace a réussi à améliorer l'état du patient.
524,effective treatment,traitement efficace,The effective treatment has been successful in improving the patient's condition.,Le traitement efficace a été un succès dans l'amélioration de l'état du patient.
525,transmissibility,transmissibilité,The transmissibility of the virus is a major concern.,La transmissibilité du virus est une préoccupation majeure.
526,transmissibility,transmissibilité,The transmissibility of the virus is a major concern.,La transmissibilité du virus est une préoccupation majeure.
527,transmissibility,transmissibilité,The transmissibility of the virus is a major concern.,La transmissibilité du virus est une préoccupation majeure.
528,transmissibility,transmissibilité,The transmissibility of the virus is a major concern.,La transmissibilité du virus est une préoccupation majeure.
529,transmissibility,transmissibilité,The transmissibility of the virus is a major concern.,La transmissibilité du virus est une préoccupation majeure.
530,electron microscope,microscope électronique,An electron microscope is used to magnify objects too small to be seen with a regular microscope.,Un microscope électronique est utilisé pour grossir des objets trop petits pour être vus avec un microscope ordinaire.
531,electron microscope,microscope électronique,An electron microscope is a device used to magnify objects at a much higher resolution than a traditional optical microscope.,Un microscope à électrons est un dispositif utilisé pour agrandir des objets à une résolution beaucoup plus élevée qu'un microscope optique traditionnel.
532,electron microscope,microscope électronique,An electron microscope is used to magnify objects too small to be seen by the naked eye.,Un microscope à électrons est utilisé pour agrandir des objets trop petits pour être vus à l'œil nu.
533,electron microscope,microscope électronique,An electron microscope is a device used to magnify objects that are too small to be seen with the naked eye.,Un microscope électronique est un dispositif utilisé pour agrandir des objets qui sont trop petits pour être vus à l'œil nu.
534,electron microscope,microscope électronique,An electron microscope is used to magnify objects too small to be seen with a regular microscope.,Un microscope électronique est utilisé pour agrandir des objets trop petits pour être vus avec un microscope ordinaire.
535,2019-nCoV,2019-nCoV,The novel coronavirus 2019-nCoV has caused a global health crisis.,Le nouveau coronavirus 2019-nCoV a provoqué une crise sanitaire mondiale.
536,2019-nCoV,2019-nCoV,"The novel coronavirus, 2019-nCoV, has caused a global health crisis.",Le nouveau coronavirus 2019-nCoV a causé une crise sanitaire mondiale.
537,2019-nCoV,2019-nCoV,The novel coronavirus 2019-nCoV has caused global concern.,Le nouveau coronavirus 2019-nCoV a suscité des craintes à l'échelle mondiale.
538,2019-nCoV,2019-nCoV,"The novel coronavirus, 2019-nCoV, has caused a global health crisis.","Le nouveau coronavirus, 2019-nCoV, a causé une crise sanitaire mondiale."
539,2019-nCoV,2019-nCoV,I'm concerned about the 2019-nCoV outbreak.,Je suis préoccupé par l'éclosion du 2019-nCoV.
540,COVID-19 epidemic,épidémie de COVID-19,The COVID-19 epidemic has caused a global health crisis.,L'épidémie de COVID-19 a provoqué une crise sanitaire mondiale.
541,COVID-19 epidemic,épidémie de COVID-19,The COVID-19 epidemic has caused widespread disruption around the world.,L'épidémie de COVID-19 a provoqué des perturbations généralisées dans le monde entier.
542,COVID-19 epidemic,épidémie de COVID-19,The COVID-19 epidemic has caused a global health crisis.,L'épidémie de COVID-19 a provoqué une crise sanitaire mondiale.
543,COVID-19 epidemic,épidémie de COVID-19,The COVID-19 epidemic has had a devastating impact on the world.,L'épidémie de COVID-19 a eu un impact dévastateur sur le monde.
544,COVID-19 epidemic,épidémie de COVID-19,The COVID-19 epidemic has had a devastating impact on the world.,L'épidémie de COVID-19 a eu un effet dévastateur sur le monde.
545,incubation,incubation,The incubation period lasted for two weeks.,La période d'incubation a duré deux semaines.
546,incubation,incubation,The incubation period for the virus was two weeks.,La période d'incubation du virus était de deux semaines.
547,incubation,incubation,The incubation period lasted for three weeks.,Le temps d'incubation a duré trois semaines.
548,incubation,incubation,The incubation period for the virus was two weeks.,Le période d'incubation du virus était de deux semaines.
549,incubation,incubation,The incubation period lasted for three weeks.,Période d'incubation a duré trois semaines.
550,immunocompromised,immunodéprimés|immunodéprimé,People who are immunocompromised are more vulnerable to illnesses.,Les personnes immunodéprimées sont plus vulnérables aux maladies.
551,immunocompromised,immunodéprimés|immunodéprimé,People who are immunocompromised have weakened immune systems and are more susceptible to illnesses.,Les personnes immunodéprimées ont des systèmes immunitaires affaiblis et sont plus susceptibles aux maladies.
552,immunocompromised,immunodéprimés|immunodéprimé,People who are immunocompromised are more vulnerable to illnesses.,Les personnes immunodéprimées sont plus vulnérables aux maladies.
553,immunocompromised,immunodéprimés|immunodéprimé,People who are immunocompromised are at a higher risk of developing serious illnesses.,Les personnes immunodéficientes courent un plus grand risque de développer des maladies graves.
554,immunocompromised,immunodéprimés|immunodéprimé,People who are immunocompromised are more vulnerable to illnesses.,Les personnes immunodéficientes sont plus vulnérables aux maladies.
555,Guangdong,Guangdong,I recently visited Guangdong in China.,J'ai récemment visité le Guangdong en Chine.
556,Guangdong,Guangdong,I recently visited Guangdong in China.,J'ai récemment visité le Guangdong en Chine.
557,Guangdong,Guangdong,"I recently visited Guangdong, a province in China.","J'ai récemment visité Guangdong, une province en Chine."
558,Guangdong,Guangdong,"I recently visited Guangdong, China.","Je viens de visiter Guangdong, Chine."
559,Guangdong,Guangdong,I recently visited Guangdong in China.,"Récemment, j'ai visité le Guangdong en Chine."
560,respiratory distress,détresse respiratoire,The patient is experiencing respiratory distress.,Le patient souffre d'un détresse respiratoire.
561,respiratory distress,détresse respiratoire,The patient is experiencing respiratory distress.,Le patient ressent un désordre respiratoire.
562,respiratory distress,détresse respiratoire,She was having difficulty breathing and was showing signs of respiratory distress.,Elle avait de la difficulté à respirer et montrait des signes de détresse respiratoire.
563,respiratory distress,détresse respiratoire,The patient is experiencing respiratory distress.,Le patient souffre d'une détresse respiratoire.
564,respiratory distress,détresse respiratoire,She was having difficulty breathing and was diagnosed with respiratory distress.,Elle avait des difficultés à respirer et a été diagnostiquée avec un détresse respiratoire.
565,respiratory illness,maladies respiratoires|maladie respiratoire,I have been diagnosed with a respiratory illness.,J'ai été diagnostiqué avec une maladie respiratoire.
566,respiratory illness,maladies respiratoires|maladie respiratoire,I have a respiratory illness.,J'ai une maladie respiratoire.
567,respiratory illness,maladies respiratoires|maladie respiratoire,I have a respiratory illness.,J'ai une maladie respiratoire.
568,respiratory illness,maladies respiratoires|maladie respiratoire,I have been diagnosed with a respiratory illness.,J'ai été diagnostiqué avec une maladie respiratoire.
569,respiratory illness,maladies respiratoires|maladie respiratoire,I have a respiratory illness.,J'ai une maladie respiratoire.
570,respiratory disease,maladies respiratoires|maladies communes des voies respiratoires|maladie respiratoire,People with respiratory disease often have difficulty breathing.,Les personnes atteintes de maladies respiratoires ont souvent des difficultés à respirer.
571,respiratory disease,maladies respiratoires|maladies communes des voies respiratoires|maladie respiratoire,People with respiratory disease often have difficulty breathing.,Les personnes atteintes de maladie respiratoire ont souvent des difficultés pour respirer.
572,respiratory disease,maladies respiratoires|maladies communes des voies respiratoires|maladie respiratoire,People with respiratory disease often have difficulty breathing.,Les personnes souffrant d'une maladie respiratoire ont souvent des difficultés à respirer.
573,respiratory disease,maladies respiratoires|maladies communes des voies respiratoires|maladie respiratoire,People with respiratory disease often experience difficulty breathing.,Les personnes atteintes de maladies respiratoires éprouvent souvent des difficultés à respirer.
574,respiratory disease,maladies respiratoires|maladies communes des voies respiratoires|maladie respiratoire,People who suffer from respiratory disease often have difficulty breathing.,Les personnes qui souffrent de maladies respiratoires ont souvent des difficultés à respirer.
575,hospitalize,hospitalisés|hospitalisé|hospitalisées|hospitaliser,She was hospitalized for her injuries.,Elle a été hospitalisée pour ses blessures.
576,hospitalize,hospitalisés|hospitalisé|hospitalisées|hospitaliser,She was hospitalized for her injuries.,Elle a été hospitalisée pour ses blessures.
577,hospitalize,hospitalisés|hospitalisé|hospitalisées|hospitaliser,She was hospitalized for a week due to her illness.,Elle a été hospitalisée pendant une semaine à cause de sa maladie.
578,hospitalize,hospitalisés|hospitalisé|hospitalisées|hospitaliser,The patient was hospitalized for further treatment.,Le patient a été hospitalisé pour un traitement supplémentaire.
579,hospitalize,hospitalisés|hospitalisé|hospitalisées|hospitaliser,The patient was hospitalized for further treatment.,Le patient a été hospitalisé pour un traitement supplémentaire.
580,renal failure,insuffisance rénale,She was hospitalized due to renal failure.,Elle a été hospitalisée en raison d'une insuffisance rénale.
581,renal failure,insuffisance rénale,She was hospitalized due to renal failure.,Elle a été hospitalisée en raison d'une insuffisance rénale.
582,renal failure,insuffisance rénale,She was hospitalized due to renal failure.,Elle a été hospitalisée en raison d'une insuffisance rénale.
583,renal failure,insuffisance rénale,He was hospitalized due to renal failure.,Il a été hospitalisé en raison d'une insuffisance rénale.
584,renal failure,insuffisance rénale,She was hospitalized due to renal failure.,Elle a été hospitalisée en raison d'une insuffisance rénale.
585,transmissible,se transmet|transmissible,The disease is transmissible.,La maladie est transmissible.
586,transmissible,se transmet|transmissible,The disease is transmissible.,La maladie est transmissible.
587,transmissible,se transmet|transmissible,The disease is transmissible.,La maladie est transmissible.
588,transmissible,se transmet|transmissible,The disease is transmissible.,La maladie est transmissible.
589,transmissible,se transmet|transmissible,The disease is transmissible.,La maladie est transmissible.
590,exposure,exposition|exposées|exposés|expositions,I was exposed to a new experience.,J'ai été exposé à une nouvelle expérience.
591,exposure,exposition|exposées|exposés|expositions,I was exposed to a new experience.,J'ai été exposé à une nouvelle expérience.
592,exposure,exposition|exposées|exposés|expositions,I was exposed to a new experience.,J'ai été exposé à une nouvelle expérience.
593,exposure,exposition|exposées|exposés|expositions,I was exposed to a new experience.,J'ai été exposé à une nouvelle expérience.
594,exposure,exposition|exposées|exposés|expositions,I was exposed to a new experience.,J'ai eu l'opportunité de vivre une nouvelle expérience.
595,clinical trial,essais cliniques|étude clinique|essai clinique,A clinical trial is being conducted to test the effectiveness of a new drug.,Une essai clinique est en cours pour tester l'efficacité d'un nouveau médicament.
596,clinical trial,essais cliniques|étude clinique|essai clinique,Patients are being recruited for a new clinical trial to test a potential treatment for the disease.,Les patients sont recrutés pour une nouvelle étude clinique pour tester un traitement potentiel pour la maladie.
597,clinical trial,essais cliniques|étude clinique|essai clinique,A clinical trial is being conducted to test the effectiveness of a new drug.,Un essai clinique est en cours pour tester l'efficacité d'un nouveau médicament.
598,clinical trial,essais cliniques|étude clinique|essai clinique,A clinical trial is being conducted to test the effectiveness of a new drug.,Une étude clinique est en cours pour tester l'efficacité d'un nouveau médicament.
599,clinical trial,essais cliniques|étude clinique|essai clinique,Patients are encouraged to participate in a clinical trial to help advance medical research.,Les patients sont encouragés à participer à une étude clinique pour contribuer à l'avancement de la recherche médicale.
600,deadly,mortel,The situation was deadly.,La situation était mortelle.
601,deadly,mortel,He was struck with a deadly blow.,Il a été frappé d'un coup mortel.
602,deadly,mortel,He was a deadly opponent in the game.,Il était un adversaire redoutable dans le jeu.
603,deadly,mortel,He was a deadly opponent in the game.,Il était un adversaire mortel dans le jeu.
604,deadly,mortel,The storm was deadly.,La tempête était mortelle.
605,2019 novel Coronavirus,nouveau coronavirus de 2019,The novel Coronavirus of 2019 has caused a global pandemic.,Le nouveau coronavirus de 2019 a provoqué une pandémie mondiale.
606,2019 novel Coronavirus,nouveau coronavirus de 2019,"In 2019, a novel Coronavirus was discovered.","En 2019, un nouveau Coronavirus a été découvert."
607,2019 novel Coronavirus,nouveau coronavirus de 2019,The novel Coronavirus of 2019 has caused a global pandemic.,"En 2019, un nouveau Coronavirus a été découvert."
608,2019 novel Coronavirus,nouveau coronavirus de 2019,"In 2019, a novel coronavirus was discovered.","En 2019, un nouveau coronavirus a été découvert."
609,2019 novel Coronavirus,nouveau coronavirus de 2019,"In 2019, a novel Coronavirus was discovered.","En 2019, un nouveau coronavirus a été découvert."
610,active cases,cas actifs,There are currently 500 active cases of the virus in the city.,Il y a actuellement 500 cas actifs du virus dans la ville.
611,active cases,cas actifs,There are currently 500 active cases of the virus in the city.,Il y a actuellement 500 cas actifs du virus dans la ville.
612,active cases,cas actifs,There are currently 200 active cases of COVID-19 in the city.,Il y a actuellement 200 cas actifs de COVID-19 dans la ville.
613,active cases,cas actifs,There are currently 500 active cases of COVID-19 in the city.,Il y a actuellement 500 cas actifs de COVID-19 dans la ville.
614,active cases,cas actifs,There are currently 500 active cases of the virus in the city.,Il y a actuellement 500 cas actifs du virus dans la ville.
615,Coronavirus cases,cas de coronavirus,The number of Coronavirus cases is increasing rapidly.,Le nombre de cas de coronavirus augmente rapidement.
616,Coronavirus cases,cas de coronavirus,The number of Coronavirus cases is increasing rapidly.,Le nombre de cas de coronavirus augmente rapidement.
617,Coronavirus cases,cas de coronavirus,The number of Coronavirus cases is increasing rapidly.,Le nombre de cas de Coronavirus augmente rapidement.
618,Coronavirus cases,cas de coronavirus,The number of Coronavirus cases is increasing rapidly.,Le nombre de cas de Coronavirus augmente rapidement.
619,Coronavirus cases,cas de coronavirus,The number of Coronavirus cases is increasing rapidly.,Le nombre de cas de Coronavirus augmente rapidement.
620,restrictions,restrictions,There are certain restrictions that must be followed.,Il y a certaines restrictions qui doivent être suivies.
621,restrictions,restrictions,There are restrictions in place that must be followed.,Il y a des restrictions en place qui doivent être suivies.
622,restrictions,restrictions,There are restrictions in place that must be followed.,Il y a des restrictions en place qui doivent être suivies.
623,restrictions,restrictions,There are restrictions in place that must be followed.,Il y a des restrictions en place qui doivent être suivies.
624,restrictions,restrictions,There are certain restrictions in place.,Il y a certaines restrictions en place.
625,ongoing outbreak,épidémie en cours,The ongoing outbreak of the virus is causing concern worldwide.,L'épidémie en cours du virus suscite des inquiétudes dans le monde entier.
626,ongoing outbreak,épidémie en cours,The ongoing outbreak of the virus is causing concern around the world.,L'épidémie en cours du virus cause des inquiétudes dans le monde entier.
627,ongoing outbreak,épidémie en cours,The ongoing outbreak of the virus is causing concern among health officials.,L'épidémie en cours du virus cause des inquiétudes chez les responsables de la santé.
628,ongoing outbreak,épidémie en cours,The ongoing outbreak of the virus is causing concern around the world.,L'épidémie actuelle du virus cause des inquiétudes dans le monde entier.
629,ongoing outbreak,épidémie en cours,The ongoing outbreak of the virus is causing concern around the world.,L'épidémie en cours du virus cause une inquiétude autour du monde.
630,respiratory virus,virus respiratoire,I have been diagnosed with a respiratory virus.,J'ai été diagnostiqué avec un virus respiratoire.
631,respiratory virus,virus respiratoire,I caught a respiratory virus.,J'ai attrapé un virus respiratoire.
632,respiratory virus,virus respiratoire,I have been diagnosed with a respiratory virus.,J'ai été diagnostiqué avec un virus respiratoire.
633,respiratory virus,virus respiratoire,I have been diagnosed with a respiratory virus.,J'ai été diagnostiqué avec un virus respiratoire.
634,respiratory virus,virus respiratoire,I have been diagnosed with a respiratory virus.,J'ai été diagnostiqué avec un virus respiratoire.
635,Coronavirus pandemic,pandémie de coronavirus,The coronavirus pandemic has had a devastating impact on the world.,La pandémie de coronavirus a eu un impact dévastateur sur le monde.
636,Coronavirus pandemic,pandémie de coronavirus,The coronavirus pandemic has had a devastating impact on the world.,La pandémie de coronavirus a eu un impact dévastateur sur le monde.
637,Coronavirus pandemic,pandémie de coronavirus,The coronavirus pandemic has had a devastating impact on the world.,La pandémie de coronavirus a eu un impact dévastateur sur le monde.
638,Coronavirus pandemic,pandémie de coronavirus,The coronavirus pandemic has had a devastating effect on the world.,La pandémie de coronavirus a eu un effet dévastateur sur le monde.
639,Coronavirus pandemic,pandémie de coronavirus,The coronavirus pandemic has had a devastating impact on the world.,La pandémie de coronavirus a eu un impact dévastateur sur le monde.
640,case fatality rate,taux de létalité,The case fatality rate is the proportion of people who die from a particular disease.,Le taux de létalité est la proportion de personnes qui meurent d'une maladie particulière.
641,case fatality rate,taux de létalité,The case fatality rate is the percentage of people who have a particular disease and die from it.,Le taux de létalité est le pourcentage de personnes qui ont une maladie particulière et en meurent.
642,case fatality rate,taux de létalité,The case fatality rate is an indication of the severity of the disease.,Le taux de létalité est une indication de la gravité de la maladie.
643,case fatality rate,taux de létalité,The case fatality rate is the proportion of people who die from a particular disease.,Le taux de létalité est la proportion de personnes qui meurent d'une certaine maladie.
644,case fatality rate,taux de létalité,The case fatality rate is an important measure of the severity of a disease.,Le taux de létalité est une mesure importante de la gravité d'une maladie.
645,coughing,toussant|avoir toussé|toussé|tousse|tousser,I have been coughing a lot lately.,J'ai beaucoup toussé ces derniers temps.
646,coughing,toussant|avoir toussé|toussé|tousse|tousser,I have been coughing a lot lately.,J'ai beaucoup toussé ces derniers temps.
647,coughing,toussant|avoir toussé|toussé|tousse|tousser,I have been coughing a lot lately.,J'ai beaucoup toussé ces derniers temps.
648,coughing,toussant|avoir toussé|toussé|tousse|tousser,I have been coughing a lot lately.,J'ai beaucoup toussé ces derniers temps.
649,coughing,toussant|avoir toussé|toussé|tousse|tousser,I have been coughing a lot lately.,J'ai beaucoup toussé ces derniers temps.
650,travel restrictions,restrictions de voyage|restrictions de voyages|restrictions des voyages,"Due to the current pandemic, travel restrictions have been put in place.","En raison de la pandémie actuelle, des restrictions de voyage ont été mises en place."
651,travel restrictions,restrictions de voyage|restrictions de voyages|restrictions des voyages,"Due to the current pandemic, travel restrictions have been put in place.","En raison de la pandémie actuelle, des restrictions de voyage ont été mises en place."
652,travel restrictions,restrictions de voyage|restrictions de voyages|restrictions des voyages,"Due to the current pandemic, travel restrictions have been put in place.","En raison de la pandémie actuelle, des restrictions de voyage ont été mises en place."
653,travel restrictions,restrictions de voyage|restrictions de voyages|restrictions des voyages,"Due to the current pandemic, travel restrictions have been put in place.","En raison de la pandémie actuelle, des restrictions de voyage ont été mises en place."
654,travel restrictions,restrictions de voyage|restrictions de voyages|restrictions des voyages,"Due to the current pandemic, travel restrictions have been put in place.","En raison de la pandémie actuelle, des restrictions de voyage ont été mises en place."
655,COVID,COVID,"-19

The world is currently facing the challenge of the COVID-19 pandemic.",Le monde fait face actuellement au défi de la pandémie de COVID-19.
656,COVID,COVID,"-19

Due to the spread of COVID-19, many countries have implemented strict safety measures.","En raison de la propagation du COVID-19, de nombreux pays ont mis en place des mesures de sécurité strictes."
657,COVID,COVID,"-19

The world is currently facing the challenge of the COVID-19 pandemic.",Le monde fait actuellement face au défi de la pandémie de COVID-19.
658,COVID,COVID,"-19

The world is currently facing the challenge of the COVID-19 pandemic.",Le monde est actuellement confronté à la pandémie de COVID-19.
659,COVID,COVID,"-19

The world is facing a global pandemic due to the spread of COVID-19.",Le monde fait face à une pandémie mondiale en raison de la propagation du COVID-19.
660,CDC,CDC,The Centers for Disease Control and Prevention (CDC) is a national public health institute.,Les Centers pour la prévention et le contrôle des maladies (CDC) est un institut national de santé publique.
661,CDC,CDC,The Centers for Disease Control and Prevention (CDC) is a leading public health agency in the United States.,Les Centers for Disease Control and Prevention (CDC) est une principale agence de santé publique aux États-Unis.
662,CDC,CDC,The Centers for Disease Control and Prevention (CDC) is a leading public health agency in the United States.,Les Centers for Disease Control and Prevention (CDC) sont une agence de santé publique de premier plan aux États-Unis.
663,CDC,CDC,The Centers for Disease Control and Prevention (CDC) is a leading public health agency in the United States.,Les Centers for Disease Control and Prevention (CDC) sont une agence de santé publique de premier plan aux États-Unis.
664,CDC,CDC,The Centers for Disease Control and Prevention (CDC) is a national public health institute.,Les Centers for Disease Control and Prevention (CDC) est une institut national de santé publique.
665,death toll,nombre de décès,The death toll from the accident was five people.,Le nombre de morts dans l'accident était de cinq personnes.
666,death toll,nombre de décès,The death toll from the accident was five people.,Le nombre de morts dans l'accident était de cinq personnes.
667,death toll,nombre de décès,The death toll from the accident was five people.,Le nombre de morts dans l'accident était de cinq personnes.
